case_id,pair_id,event_count,expected_valid,expected_fault_code,wod2sim_valid,wod2sim_observed_codes,wod2sim_fault_detected,wod2sim_classification_correct,wod2sim_localization_correct,status_only_valid,status_only_fault_detected,status_only_classification_correct,status_only_localization_correct
fault:01:semantic.route_missing,session_pair_01,5,False,semantic.route_missing,False,semantic.route_missing,True,True,True,True,False,False,False
fault:02:semantic.command_only,session_pair_02,9,False,semantic.command_only,False,semantic.command_only,True,True,True,True,False,False,False
fault:03:semantic.road_center_reference,session_pair_03,12,False,semantic.road_center_reference,False,semantic.road_center_reference,True,True,True,True,False,False,False
fault:04:temporal.stale_observation,session_pair_04,15,False,temporal.stale_observation,False,temporal.stale_observation,True,True,True,True,False,False,False
fault:05:temporal.invalid_sample_count,session_pair_05,18,False,temporal.invalid_sample_count,False,temporal.invalid_sample_count,True,True,True,True,False,False,False
fault:06:temporal.nan_trajectory,session_pair_06,21,False,temporal.nan_trajectory,False,temporal.nan_trajectory,True,True,True,True,False,False,False
fault:07:lifecycle.duplicate_close,session_pair_07,25,False,lifecycle.duplicate_close,False,lifecycle.duplicate_close,True,True,True,True,False,False,False
fault:08:lifecycle.late_image,session_pair_08,28,False,lifecycle.late_image,False,lifecycle.late_image,True,True,True,True,False,False,False
fault:09:lifecycle.late_route,session_pair_09,31,False,lifecycle.late_route,False,lifecycle.late_route,True,True,True,True,False,False,False
fault:10:plugin.optional_backend_missing,session_pair_10,33,False,plugin.optional_backend_missing,False,plugin.optional_backend_missing,True,True,True,True,False,False,False
fault:11:deployment.docker_unavailable,session_pair_11,36,False,deployment.docker_unavailable,False,deployment.docker_unavailable,True,True,True,True,False,False,False
fault:12:deployment.gpu_runtime_unavailable,session_pair_12,39,False,deployment.gpu_runtime_unavailable,False,deployment.gpu_runtime_unavailable,True,True,True,True,False,False,False
fault:13:deployment.scene_artifact_missing,session_pair_13,42,False,deployment.scene_artifact_missing,False,deployment.scene_artifact_missing,True,True,True,True,False,False,False
fault:14:evidence.manifest_missing,session_pair_14,45,False,evidence.manifest_missing,False,evidence.manifest_missing,True,True,True,True,False,False,False
fault:15:evidence.hash_mismatch,session_pair_15,48,False,evidence.hash_mismatch,False,evidence.hash_mismatch,True,True,True,True,False,False,False
control:01,session_pair_01,6,True,,True,,False,True,False,True,False,True,False
control:02,session_pair_02,9,True,,True,,False,True,False,True,False,True,False
control:03,session_pair_03,12,True,,True,,False,True,False,True,False,True,False
control:04,session_pair_04,15,True,,True,,False,True,False,True,False,True,False
control:05,session_pair_05,18,True,,True,,False,True,False,True,False,True,False
control:06,session_pair_06,21,True,,True,,False,True,False,True,False,True,False
control:07,session_pair_07,24,True,,True,,False,True,False,True,False,True,False
control:08,session_pair_08,27,True,,True,,False,True,False,True,False,True,False
control:09,session_pair_09,30,True,,True,,False,True,False,True,False,True,False
control:10,session_pair_10,33,True,,True,,False,True,False,True,False,True,False
control:11,session_pair_11,36,True,,True,,False,True,False,True,False,True,False
control:12,session_pair_12,39,True,,True,,False,True,False,True,False,True,False
control:13,session_pair_13,42,True,,True,,False,True,False,True,False,True,False
control:14,session_pair_14,45,True,,True,,False,True,False,True,False,True,False
control:15,session_pair_15,48,True,,True,,False,True,False,True,False,True,False
